tR_prediction	tR_target	dtR
5.426297	5.434	-0.007702812194824382
7.2644076	6.817	0.44740763473510725
7.7536225	8.037	-0.28337746810913167
5.4147162	5.676	-0.26128375625610367
7.8063793	7.584	0.22237931823730506
7.66464	7.768	-0.10336005020141581
9.31922	9.136	0.1832195892333992
6.425656	6.255	0.17065584182739268
7.544079	7.73	-0.18592117309570355
6.8217454	7.091	-0.2692546043395998
7.9435563	7.887	0.056556308746338324
6.3981104	6.419	-0.02088961029052694
4.9807096	4.599	0.3817095527648924
5.8135743	5.757	0.05657431411743197
7.250752	6.829	0.4217519721984866
7.8525867	8.1	-0.24741325378417933
5.578964	4.924	0.6549642333984371
6.3241735	6.111	0.21317345046997094
7.7882285	7.545	0.2432285118103028
7.431554	7.781	-0.34944615936279266
6.710884	6.623	0.08788409423828103
7.6247683	7.398	0.2267682571411136
5.255678	5.263	-0.007321823120117088
6.1484766	6.398	-0.24952339935302703
5.68532	5.576	0.10931990051269569
7.121332	6.919	0.20233216857910197
7.3648863	7.267	0.09788628387451137
9.757633	10.036	-0.27836679077148396
6.4606113	6.618	-0.15738865661621126
4.3498526	4.183	0.16685256195068376
6.814829	7.282	-0.46717112731933597
5.8336554	6.01	-0.17634464263915994
6.2426047	6.992	-0.7493952674865723
7.9340315	7.631	0.30303148651123024
6.213038	6.625	-0.41196203231811523
4.2657084	4.204	0.06170844650268581
7.4822373	7.305	0.17723733901977567
7.947301	7.899	0.04830091094970701
10.032397	10.304	-0.27160272979736355
6.745303	6.956	-0.2106968460083012
5.3291764	5.011	0.31817642593383777
7.3966994	7.147	0.24969942855834937
6.7601366	6.987	-0.22686339569091807
7.588737	7.99	-0.40126298904418967
5.8009224	5.945	-0.14407760620117216
5.6488376	5.533	0.11583756637573206
6.7864327	6.894	-0.10756725692749036
8.3608055	8.426	-0.06519448852539078
6.3005514	6.671	-0.37044858551025417
5.3470993	5.169	0.17809930419921916
8.387691	8.681	-0.2933094558715812
6.2574763	6.774	-0.5165236701965332
6.457806	5.862	0.59580611038208
7.262912	7.363	-0.10008820343017621
4.985978	4.618	0.3679781265258786
4.2263064	4.009	0.21730643844604458
6.044629	6.037	0.007629096984863359
6.6817966	6.769	-0.0872034492492677
3.5976138	3.502	0.09561381149292014
9.035092	10.073	-1.0379076461791996
7.1138206	6.735	0.3788205528259274
6.6666794	6.83	-0.16332061767578132
6.6486382	6.557	0.09163824844360313
7.4990315	7.08	0.4190315437316894
6.3989615	6.406	-0.00703845596313446
4.6189904	4.397	0.22199042129516577
5.4841514	5.493	-0.008848636627197592
7.2083597	7.422	-0.2136402816772458
4.1085687	3.791	0.3175686683654786
5.272843	5.092	0.18084288406372107
8.005298	8.101	-0.09570233917236415
5.87004	5.882	-0.01196006011962858
5.826386	5.363	0.46338597488403277
6.391048	6.4	-0.008952045440674183
5.774031	5.471	0.3030311622619628
8.42599	8.991	-0.5650098953247067
7.091426	7.648	-0.5565741043090817
8.69385	8.902	-0.20815043640136643
4.381961	4.518	-0.13603913116455058
4.918275	4.777	0.14127487945556627
6.88867	7.234	-0.3453300323486328
5.7102723	4.695	1.0152723121643064
8.219512	8.596	-0.3764880142211915
3.8361938	3.964	-0.1278062000274658
6.344282	6.277	0.06728215026855455
7.4216166	7.563	-0.14138344573974582
8.077902	8.138	-0.06009815979003896
4.702958	4.633	0.0699581069946289
7.424743	7.145	0.2797431755065922
9.279	8.866	0.413000282287598
6.63953	6.089	0.5505301818847652
6.709037	6.916	-0.20696317291259803
4.4728365	4.333	0.1398364944458006
7.973517	7.984	-0.010483058929443345
7.138527	7.554	-0.415473083496094
3.8217616	3.334	0.4877616081237792
7.2569933	6.822	0.43499329376220697
6.125092	6.143	-0.01790797042846659
6.6191516	6.6	0.019151592254639027
5.033745	5.12	-0.08625518798828136
6.7324343	6.806	-0.07356572723388677
6.966854	6.783	0.183854095458984
4.987128	4.623	0.3641277809143064
10.03346	10.491	-0.4575403366088864
6.3045173	6.258	0.04651726913452148
9.911726	9.949	-0.037274002075195156
8.883882	9.113	-0.22911843109130814
5.855496	5.289	0.5664959297180179
6.881182	7.111	-0.22981780624389625
5.4722996	5.43	0.04229957580566435
3.6989625	3.694	0.00496245002746587
4.575124	4.784	-0.20887621307373028
6.451436	6.171	0.28043604278564427
8.449576	8.829	-0.3794236221313483
8.054488	7.464	0.5904881820678707
6.3943624	6.208	0.1863624496459959
4.8189707	4.617	0.2019706802368164
8.1059265	8.033	0.07292651367187553
8.29513	8.861	-0.5658702239990241
8.268188	8.438	-0.1698115234375006
6.3701625	6.276	0.0941624870300295
6.5600524	6.705	-0.1449476051330567
8.062983	7.503	0.5599825592041014
7.1622357	7.298	-0.13576426315307621
5.607092	5.577	0.03009190368652348
8.94477	9.165	-0.2202301406860343
6.115578	6.403	-0.2874218254089351
7.4635124	7.375	0.08851242065429688
5.525214	5.295	0.23021419525146491
7.445972	7.49	-0.04402803421020529
6.7174773	6.864	-0.14652267837524402
10.174544	11.167	-0.9924556655883787
10.107261	10.495	-0.3877392959594719
8.579281	8.929	-0.3497191467285159
3.658083	3.188	0.47008296203613265
10.897904	11.427	-0.5290956039428707
7.7387447	7.262	0.47674473571777387
10.927285	11.036	-0.10871480560302693
8.552294	7.931	0.6212937774658203
7.3955193	7.313	0.08251925659179715
7.7118764	7.541	0.17087639236450158
5.370758	5.899	-0.528241943359375
5.0073514	4.787	0.22035139846801766
9.215985	9.257	-0.04101470184326139
