formula	z	exactMW	u_exactMW
-H-C41H66O12	-1	-751.462704014341	3.31907315113272E-08
-H-C41H66O11	-1	-735.467789394771	3.05216252703396E-08
+H-C26H48O18	1	-647.276788246979	4.91297476465285E-08
-H-C42H79NO2	-1	-630.618357242061	9.49066425370491E-09
+H-C33H40O12	1	-627.244700271719	3.28208187914622E-08
+H-C33H38O11	1	-609.234135587689	3.00981818932789E-08
+H-C30H23F2N3O5S2	1	-606.097443074369	9.74451853478869E-08
+H-C27H47N2O7PS	1	-573.276883581159	5.37094518102995E-08
-H-C35H68O5	-1	-569.513951741811	1.49670450210901E-08
+H-C31H36O10	1	-567.223570903659	2.73760511046952E-08
+H-C28H33NO11	1	-558.198084430969	3.01812125556333E-08
+H-C27H31O11N	1	-544.182434366509	3.01643069024141E-08
+H-C28H31NO10	1	-540.187519746939	2.74703068305431E-08
+H-C30H40N2O7	1	-539.276275182729	2.01538738056779E-08
+H-C27H29NO10	1	-526.171869682479	2.74529305362988E-08
+H-C27H29O10N	1	-526.171869682479	2.74529305362988E-08
+H-C29H34O9	1	-525.213006219629	2.46545940660142E-08
+H-C25H35NO11	1	-524.213734495429	3.0199198496741E-08
+H-C25H33NO11	1	-522.198084430969	3.01812125556333E-08
+H-C28H32NO6P	1	-508.189448299309	2.7422913571597E-08
+H-C25H33NO10	1	-506.203169811399	2.74888693435993E-08
+H-C10H16O13N5P3	1	-505.988470135179	7.53545697559503E-08
+H-C18H34O16	1	-505.177408556619	4.3609014221645E-08
+H-C25H31NO10	1	-504.187519746939	2.74703068305431E-08
-H-C24H43O8P	-1	-491.276831793191	3.09712425243329E-08
+H-C17H32O16	1	-491.161758492159	4.35969383318642E-08
+H-C18H32O15	1	-487.166843872589	4.08838403345122E-08
+H-C20H38O13	1	-485.223964826829	3.55077181340053E-08
+H-C25H27NO9	1	-484.161304998449	2.47445871419539E-08
+H-C17H30O15	1	-473.151193808129	4.08717644483154E-08
-H-C30H46O4	-1	-471.346886413181	1.16821738234746E-08
-H-C18H30O14	-1	-471.170832093201	3.81716015469424E-08
+H-C20H38O12	1	-469.229050207259	3.28017621842923E-08
+H-C18H30O14	1	-469.156279188559	3.81586673414995E-08
-H-C22H43O8P	-1	-467.276831793191	3.09712425243329E-08
+H-C20H36O12	1	-467.213400142799	3.27836983383464E-08
+H-C16H30O15	1	-461.151193808129	4.08717644483154E-08
+H-C19H36O12	1	-455.213400142799	3.27836983383464E-08
+H-C18H30O13	1	-453.161364568989	3.54464956380034E-08
+H-C20H36O11	1	-451.218485523229	3.00784944374835E-08
+H-C20H34O11	1	-449.202835458769	3.00598888897232E-08
-H-C27H43O5	-1	-448.318325936061	1.41693480069484E-08
-H-C28H30O5	-1	-447.216600517071	1.38834017079784E-08
+H-C16H28O14	1	-443.140629124099	3.81465914596817E-08
+H-C17H28O13	1	-439.145714504529	3.54334954489059E-08
+H-C27H50O4	1	-437.363633637459	1.17495880544288E-08
+H-C19H34O11	1	-437.202835458769	3.00598888897232E-08
+H-C16H16F6O7	1	-433.072745376729	1.06593188641909E-07
+H-C20H32O10	1	-431.192270774739	2.73363526654964E-08
-H-C26H23NO3S	-1	-430.147141231151	4.56362110930156E-08
+H-C19H24O9S	1	-427.106827071729	5.10566340359185E-08
+H-C23H27N3O3S	1	-424.170036464289	4.63274652358538E-08
+H-C26H29O4N	1	-418.202381965059	1.15148938716549E-08
+H-C20H26N4O6	1	-417.177958120799	1.99200966612437E-08
-H-C18H35O8P	-1	-411.214231535351	3.08861201212569E-08
-H-C13H25SO8N2P	-1	-401.114200396311	5.46238356766036E-08
+H-C23H15O5P	1	-401.058434127399	2.56231968104297E-08
+H-C19H19ClF3NO3	1	-400.093279193379	1.29493939024178E-06
-H-C18H20O10	-1	-397.112923292621	2.72579896741372E-08
+H-C20H42O4NP	1	-390.277869382469	2.46995113571074E-08
+H-C20H25O5N3	1	-386.172144464569	1.61298585448316E-08
+H-C20H21NO7	1	-386.124525565929	1.93242215742649E-08
-H-C14H25O11N	-1	-384.150037077771	3.01337436162238E-08
+H-C24H44O-2(H2O)	1	-383.353068953429	9.20420016779987E-09
+H-C24H44O-2H2O	1	-383.353068953429	9.20420016779987E-09
-H-C17H34NO6P	-1	-380.219651268411	2.74624868828328E-08
+H-C12H28O13	1	-379.145714504529	3.54334954489059E-08
+H-C15H24O11	1	-379.124585136469	2.99831561651823E-08
+Na-C25H36O4	1	-377.272138936469	4.51326174769038E-08
+H-C12H26O13	1	-377.130064440069	3.54214195725161E-08
+H-C16H25O9N	1	-374.145654933989	2.47279571876919E-08
-H-C17H24O9	-1	-373.149308801971	2.45770535098616E-08
+H-C21H38O5	1	-369.264647870269	1.40037696951485E-08
+H-C23H44O3	1	-367.321768824509	9.04187406409692E-09
+H-C16H16O10	1	-367.067070259059	2.72253725886829E-08
+H-C24H44O-H2O	1	-365.342504269399	6.79963202505554E-09
+H-C23H42O3	1	-365.306118760049	8.96511609852045E-09
+H-C14H22O11	1	-365.108935072009	2.99710803044237E-08
+H-C17H30O8	1	-361.186791471139	2.19115445672088E-08
+H-C12H26O12	1	-361.135149820499	3.27083249317835E-08
+H-C15H22O10	1	-361.114020452439	2.72579896741372E-08
+Li-C24H44O-H2O	1	-359.334325865029	3.23075198208621E-08
+H-C12H24O12	1	-359.119499756039	3.26962490622347E-08
+H-C22H30O4	1	-357.207132992859	1.11900979226148E-08
-H-C21H38O4	-1	-355.284286155341	1.14373436310104E-08
+H-C21H40SO2	1	-355.267625250419	4.52286037020557E-08
+H-C21H41O3N	1	-354.301367732249	9.35683395929713E-09
+H-C16H18O9	1	-353.087805703949	2.45207503833901E-08
+H-C11H11F6NO5	1	-350.046864980869	1.05789763935478E-07
-H-C24H44O	-1	-349.346492490011	4.90447778193246E-09
+H-C18H22O5S	1	-349.111518528989	4.68188936644453E-08
-H-C10H14O7N5P	-1	-348.070361261101	3.20986235506201E-08
+H-C14H20O10	1	-347.098370387979	2.72459138249358E-08
+H-C15H22O9	1	-345.119105832869	2.45462368421649E-08
+H-C21H14O5	1	-345.076847096749	1.36467157910477E-08
+H-C17H28O7	1	-343.176226787109	1.91908536865862E-08
+H-C12H24O11	1	-343.124585136469	2.99831561651823E-08
+Li-C24H44O	1	-341.323761180999	3.19392209758431E-08
+H-C12H22O11	1	-341.108935072009	2.99710803044237E-08
-H-C10H17S2O6N3	-1	-340.063154079741	9.1397933730808E-08
-H-C11H6F9NO	-1	-340.037843734271	1.57356482995029E-07
+H-C21H40O3	1	-339.290468695589	8.89139723670395E-09
+H-C14H12O10	1	-339.035770130139	2.72096541212343E-08
-H-C15H29O6P	-1	-337.177452102831	2.72703297108998E-08
+H-C15H22N4O3S	1	-337.133985307569	4.68956792420014E-08
+H-C13H22O10	1	-337.114020452439	2.72579896741372E-08
-H-C16H16O8	-1	-337.091793924561	2.18076669310575E-08
+H-C13H24N2O8	1	-335.145989286619	2.25593141027455E-08
+H-C17H20O7	1	-335.113626529269	1.91118087315164E-08
+H-C17H25N3O4	1	-334.177229844999	1.39150658132903E-08
+H-C13H18O10	1	-333.082720323519	2.72350409826797E-08
+H-C19H27NO4	1	-332.186731900599	1.14762466265802E-08
+H-C14H18F3N3O3	1	-332.122749488009	5.37494496053875E-08
+H-C13H16O10	1	-331.067070259059	2.72253725886829E-08
+H-C14H6ClF4NO2	1	-329.995042317549	1.29574962444871E-06
+H-C19H38O4	1	-329.269733250699	1.13825430193206E-08
+H-C11H22O11	1	-329.108935072009	2.99710803044237E-08
+H-C18H18O6	1	-329.103061845239	1.63875196086579E-08
+H-C17H10F3N3O	1	-328.070319991029	5.31802828141292E-08
+H-C15H20O8	1	-327.108541148839	2.1821244231334E-08
+H-C19H25SN3	1	-326.169642541119	4.55946052613874E-08
+H-C12H22O10	1	-325.114020452439	2.72579896741372E-08
-H-C12H20O10	-1	-325.112923292621	2.72579896741372E-08
-H-C16H12N4O4	-1	-325.093131335081	1.56583736064964E-08
-H-C18H12O6	-1	-325.070664556501	1.63573692122185E-08
+H-C8H11ClN4O4S2	1	-324.983748429009	1.29703517692837E-06
+H-C14H28O8	1	-323.171141406679	2.18905078066595E-08
+H-C12H20O10	1	-323.098370387979	2.72459138249358E-08
+H-C22H29NO	1	-322.217638106349	4.65696403915863E-09
+H-C12H26N4O6	1	-321.177958120799	1.99200966612437E-08
+H-C13H14ClF3N2O2	1	-321.062313417089	1.29493370911992E-06
+H-C15H19BrN2O	1	-321.060799388479	0.000110485672827504
+H-C10H14N2O6S2	1	-321.022052073979	9.11761473654971E-08
+H-C12H15N7O4	1	-320.111275540419	2.24552984335111E-08
+H-C12H24N4O6	1	-319.162308056339	1.99002621563094E-08
+H-C13H20O9	1	-319.103455768409	2.45328262169713E-08
+H-C15H12O8	1	-319.045940890999	2.17759536426054E-08
+H-C19H29NO3	1	-318.207467345489	8.9909341206867E-09
+H-C13H21NO8	1	-318.119440185499	2.20075215838755E-08
-H-C20H28O3	-1	-317.211121213471	8.57102135131865E-09
+H-C17H18O6	1	-317.103061845239	1.63875196086579E-08
-H-C11H13O8N3	-1	-316.077540841161	2.33538046370061E-08
+H-C19H28O2N2	1	-315.207801698119	8.18206806567561E-09
+H-C13H16O9	1	-315.072155639489	2.45100113143363E-08
-H-C13H14O9	-1	-315.071058479671	2.45100113143363E-08
+H-C14H22ClN3O3	1	-314.127692810739	1.29390194495201E-06
+H-C17H14O6	1	-313.071761716319	1.63573692122185E-08
+H-C13H14O9	1	-313.056505575029	2.45006107675954E-08
-H-C12H13O7N3	-1	-312.082626221591	2.08445370351559E-08
+H-C19H36O3	1	-311.259168566669	8.75338079935755E-09
-H-C22H30O	-1	-311.236942038791	3.91153372522357E-09
-H-C15H35O4P	-1	-311.234573057071	2.44755985083437E-08
+H-C12H16N4O6	1	-311.099707798499	1.98373220570616E-08
+H-C11H20O10	1	-311.098370387979	2.72459138249358E-08
+H-C13H12O9	1	-311.040855510569	2.44925502843923E-08
+H-C15H22N2O5	1	-309.145595363449	1.4827152122368E-08
+H-C12H22O9	1	-309.119105832869	2.45462368421649E-08
-H-C12H20O9	-1	-309.118008673051	2.45462368421649E-08
-H-C15H16O7	-1	-309.096879304991	1.90963051442545E-08
+H-C13H8Cl2O3N2	1	-308.983921037089	2.58771409603616E-06
+H-C11H19O9N	1	-308.098704740609	2.46860000157937E-08
+H-C16H24O4N2	1	-307.166330808339	1.2410687288916E-08
+H-C11H21N2O6P	1	-307.106446949209	2.77656446862992E-08
+H-C12H20O9	1	-307.103455768409	2.45328262169713E-08
+H-C15H16O7	1	-307.082326400349	1.9082513603476E-08
+H-C10H16N2O7S	1	-307.060545583609	4.89801412353331E-08
+H-C7H6Br2N2O2	1	-306.872326189059	0.000220971345418376
+H-C10H17N3O6S	1	-306.076530000699	4.83984341235941E-08
-H-C10H15SO6N3	-1	-306.075432840881	4.83984341235941E-08
-H-C19H28O3	-1	-305.211121213471	8.57102135131865E-09
+H-C18H26O4	1	-305.175832863939	1.11104096699872E-08
+H-C14H26O7	1	-305.160576722649	1.91685479372997E-08
+H-C14H9ClFN3O2	1	-304.029455934909	1.29400451004888E-06
+H-C20H33ON	1	-302.248938235269	4.86434546682721E-09
-H-C10H20O10	-1	-301.112923292621	2.72579896741372E-08
+H-C13H18O8	1	-301.092891084379	2.18076669310575E-08
+H-C15H10O7	1	-301.035376206969	1.9051446133343E-08
+H-C18H24N2O2	1	-299.176501569199	8.0808901448104E-09
+H-C20H42O	1	-297.316289520909	4.60692135372841E-09
-H-C11H18O9	-1	-295.102358608591	2.45328262169713E-08
-H-C13H19N5O3	-1	-294.156065945551	1.63070618524408E-08
+H-C14H21N3O2S	1	-294.128171651339	4.59020132681455E-08
+H-C12H13ClF3NO2	1	-294.051414380429	1.2949245441352E-06
+H-C12H14BrN3O	1	-294.024748231759	0.00011048567299921
-H-C12H20O8	-1	-293.123094053481	2.18363202193746E-08
+H-C11H18O9	1	-293.087805703949	2.45207503833901E-08
+H-C13H14O6N2	1	-293.077909725179	1.72898033706749E-08
+H-C11H13F2BrO2	1	-292.999422131269	0.000110485678309313
+H-C16H24N2O3	1	-291.171416188769	1.01128272243875E-08
+H-C15H20N2O4	1	-291.135030679419	1.23548767315673E-08
+H-C11H20N2O7	1	-291.119774538129	1.99156974781662E-08
+H-C12H20O8	1	-291.108541148839	2.1821244231334E-08
+H-C19H16O3	1	-291.102667922069	8.27009153058703E-09
+H-C11H11Cl3N2O	1	-290.986419576639	3.88154774750053E-06
+H-C16H21NO4	1	-290.139781707219	1.13768850069637E-08
+H-C11H17O8N	1	-290.088140056579	2.19805887229976E-08
+H-C11H18NO6P	1	-290.079897848089	2.73219228648191E-08
-H-C9H11O8N3	-1	-290.061890776701	2.3344643356148E-08
+H-C10H11Cl2N3O3	1	-290.010470138209	2.58772175467745E-06
+H-C17H26O2N2	1	-289.192151633659	8.12961269901242E-09
-H-C15H12O6	-1	-289.070664556501	1.63573692122185E-08
-H-C16H21N3O2	-1	-288.170653381581	1.02052817246738E-08
+H-C16H20N2O3	1	-287.140116059849	1.0044256793774E-08
-H-C17H19NO3	-1	-286.143769927831	8.81349124630682E-09
+H-C12H18O5NP	1	-286.084983228519	2.57906338302866E-08
+H-C12H11F2NO5	1	-286.053252329949	3.76231947759417E-08
+H-C5H7O6P-C6H7N	1	-286.048597719169	2.73038495024385E-08
+H-C20H30O	1	-285.222389134149	3.78322940148341E-09
-H-C13H16O7	-1	-285.096879304991	1.90963051442545E-08
+H-C15H10O6	1	-285.040461587399	1.63352235532098E-08
+H-C10H8Cl2N4S	1	-284.977396361639	2.58810652002584E-06
+H-C9H6Cl4O2	1	-284.904913708199	5.17539307405862E-06
+H-C18H17F2N	1	-284.125629425479	3.50990853620497E-08
+H-C16H15NO4	1	-284.092831513839	1.13028824251535E-08
-H-C18H34O2	-1	-283.263156787281	6.29707761431774E-09
-H-C19H22O2	-1	-283.169256400521	5.82468990425472E-09
-H-C10H18O9	-1	-283.102358608591	2.45328262169713E-08
+H-C13H16O7	1	-283.082326400349	1.9082513603476E-08
+H-C13H8F3NOS	1	-282.020593092109	6.90555558856344E-08
+H-C18H34O2	1	-281.248603882639	6.20759848230541E-09
+H-C10H18O9	1	-281.087805703949	2.45207503833901E-08
-H-C16H25NO3	-1	-280.190720121211	8.94138423965477E-09
-H-C17H27SO	-1	-280.185538116501	4.49152758841982E-08
+H-C10H19SO6N	1	-280.086032056299	4.77516526760483E-08
+H-C18H32O2	1	-279.232953818179	6.12218828902324E-09
+H-C14H14N7	1	-279.123792029909	1.9639733375906E-08
+H-C14H16O6	1	-279.087411780779	1.63714463071689E-08
+H-C8H10F6N2O2	1	-279.057370094359	1.05164540182544E-07
+H-C13H13NO6	1	-278.067010688519	1.65891919414545E-08
+H-C10H8F3NO5	1	-278.028180395989	5.42455565795112E-08
+H-C13H16N3O4	1	-277.106804554929	1.38109119106492E-08
+H-C11H18O8	1	-277.092891084379	2.18076669310575E-08
-H-C11H16O8	-1	-277.091793924561	2.18076669310575E-08
+H-C18H31ON	1	-276.233288170809	4.75832705846839E-09
-H-C16H21NO3	-1	-276.159419992291	8.85261079649648E-09
+H-C15H21N2O3	1	-276.147941092079	1.0060216585022E-08
+H-C14H15SO3N	1	-276.069988068669	4.56019451729689E-08
+H-C16H24N2O2	1	-275.176501569199	8.0808901448104E-09
+H-C17H24O3	1	-275.165268179909	8.41994663988713E-09
-H-C11H14O6S	-1	-275.058385795361	4.76609105152543E-08
+H-C16H22N2O2	1	-273.160851504739	8.03596830014888E-09
-H-C17H20O3	-1	-273.148520955631	8.37684322445219E-09
+H-C13H22O6	1	-273.134361974159	1.64256306628171E-08
+H-C12H18O7	1	-273.097976464809	1.90963051442545E-08
-H-C15H12O5	-1	-273.075749936931	1.36467157910477E-08
+H-C11H14O6S	1	-273.043832890719	4.76560768895153E-08
+H-C13H18F3N3	1	-272.138005629299	5.31268298771347E-08
+H-C10H9Cl2N3O2	1	-271.999905454179	2.58771455438203E-06
+H-C16H20N2O2	1	-271.145201440279	7.99491123161826E-09
-H-C12H18N2O5	-1	-271.128848139171	1.48049403626053E-08
+H-C19H13NO	1	-270.092437590669	4.05239024597597E-09
+H-C19H13ON	1	-270.092437590669	4.05239024597597E-09
+H-C10H13N3O4S	1	-270.055400632639	4.68360226383201E-08
+H-C18H38O	1	-269.284989391989	4.31935397637485E-09
-H-C13H16O6	-1	-269.101964685421	1.63875196086579E-08
+H-C12H12F2N2O3	1	-269.074322127469	3.63443079838869E-08
+H-C12H14O7	1	-269.066676335889	1.90704378235836E-08
+H-C7H6F4O3N4	1	-269.030326268409	7.1275723342667E-08
+H-C13H19O5N	1	-268.119046262329	1.39768208358047E-08
+H-C15H12FN3O	1	-268.089163730029	1.96081418945445E-08
-H-C8H4F3NO4S	-1	-267.988589726541	6.98525433410379E-08
+H-C16H28O3	1	-267.196568308829	8.51709772853414E-09
+H-C10H9BrN2O2	1	-266.977463685749	0.000110485672918204
+H-C18H21NO	1	-266.155037848509	4.30442163922348E-09
+H-C8H4F3NO4S	1	-265.974036821899	6.98516010913685E-08
+H-C19H38	1	-265.290074772419	3.3560573573259E-09
-H-C18H32O	-1	-265.252592103251	4.04390721392424E-09
+H-C10H18O8	1	-265.092891084379	2.18076669310575E-08
-H-C10H16O8	-1	-265.091793924561	2.18076669310575E-08
+H-C13H15FN2OS	1	-265.081635996689	4.8470787014536E-08
-H-C9H13O7P	-1	-265.047166206721	2.88790055522614E-08
+H-C16H24FNO	1	-264.176916107929	1.80302081281033E-08
+H-C11H23NO4S	1	-264.127502946079	4.61915873226041E-08
+H-C13H16FN3O2	1	-264.115378478519	2.01870244740201E-08
+H-C13H16ClN3O	1	-264.090913378219	1.29387840096348E-06
+H-C20H24	1	-263.180524321199	2.0861978167161E-09
+H-C15H24O2N2	1	-263.176501569199	8.0808901448104E-09
+H-C10H16O8	1	-263.077241019919	2.17955911193137E-08
-H-C10H14O8	-1	-263.076143860101	2.17955911193137E-08
+H-C9H13O7P	1	-263.032613302079	2.88715975326937E-08
+H-C19H21N	1	-262.160123228939	3.33681702534787E-09
-H-C14H19N3O2	-1	-262.155003317121	1.0171365941428E-08
-H-C15H19NO3	-1	-262.143769927831	8.81349124630682E-09
-H-C18H28O	-1	-261.221291974331	3.78322940148341E-09
-H-C12H24N2O4	-1	-261.180883712981	1.24424666399678E-08
+H-C9H14N2O7	1	-261.072824344749	1.98759998952237E-08
+H-C10H12F2N2O2S	1	-261.051478682299	5.7336536090388E-08
+H-C11H7ClN4O2	1	-261.018476712149	1.29390758816988E-06
+H-C13H15N3O3	1	-260.104064903129	1.17790836955779E-08
+H-C10H15NO5S	1	-260.059817307809	4.68810896648049E-08
+H-C19H32	1	-259.243124579039	2.8118318399217E-09
+H-C18H28O	1	-259.206739069689	3.6594222791159E-09
+H-C11H16O7	1	-259.082326400349	1.9082513603476E-08
+H-C7H8N4O5S	1	-259.014264095489	4.81069517810467E-08
+H-C10H9ClO6	1	-259.001489237169	1.29395060969263E-06
+H-C12H9AsO2	1	-258.974572646889	7.11755150529585E-05
+H-C11H11F2NO4	1	-258.058337710379	3.67282112967725E-08
+H-C10H14BrO2N	1	-258.013514842469	0.000110485672815627
-H-C16H30O-H2O	-1	-257.247506722821	6.20759848230541E-09
+H-C13H26N2O3	1	-257.187066253229	1.01518023805511E-08
-H-C17H20O2	-1	-257.153606336061	5.76220560803159E-09
+H-C10H17F3O4	1	-257.100617062059	5.35714170841061E-08
+H-C8H18O9	1	-257.087805703949	2.45207503833901E-08
+H-C10H14O6N2	1	-257.077909725179	1.72898033706749E-08
+H-C10H8F6O	1	-257.040657401469	1.04908352255784E-07
-H-C6H9O9P	-1	-257.005695316941	3.27078809124979E-08
+H-C10H11NO5S	1	-256.028517178889	4.68726652864549E-08
-H-C10H9NO5S	-1	-256.027420019071	4.68726652864549E-08
+H-C16H32O2	1	-255.232953818179	6.12218828902324E-09
+H-C16H20N2O	1	-255.150286820709	6.46045758741313E-09
-H-C16H14O3	-1	-255.101570762251	8.27009153058703E-09
+H-C11H16N2O5	1	-255.098645170069	1.47671036962932E-08
+H-C12H16O6	1	-255.087411780779	1.63714463071689E-08
+H-C7H7F3N2O3S	1	-255.005671303449	6.96508632851302E-08
+H-C10H3F3N2OS	1	-254.984541935389	6.92230445855682E-08
+H-C14H25NO3	1	-254.176167216569	8.8952586230935E-09
+H-C17H21NO	1	-254.155037848509	4.30442163922348E-09
+H-C13H21NO4	1	-254.139781707219	1.13768850069637E-08
+H-C11H14BrON	1	-254.018600222899	0.000110485672715248
+H-C10H7Cl2N3O	1	-253.989340770149	2.58771022402121E-06
+H-C16H30O2	1	-253.217303753719	6.04101962146626E-09
+H-C13H18O5	1	-253.108147225669	1.3682840467569E-08
+H-C8H9F3N2O2S	1	-253.026406748339	6.93866314987831E-08
+H-C15H11NO3	1	-252.066616765349	8.67233817954793E-09
+H-C11H12ClN3O2	1	-252.054527868869	1.29388664184232E-06
+H-C6H8ClSO4N3	1	-251.985128153489	1.29469467909834E-06
+H-C18H36	1	-251.274424707959	3.1746488515245E-09
-H-C14H18O4	-1	-251.127785510741	1.10122298377965E-08
+H-C13H12N6	1	-251.105067961019	1.6833284174715E-08
+H-C10H15F3N2O2	1	-251.101285767319	5.30287892781892E-08
+H-C13H17ClN2O	1	-251.095664406019	1.29386334452623E-06
-H-C13H13FNO3	-1	-251.095222897181	1.95319817060543E-08
+H-C15H12N2O2	1	-251.082601182439	7.8704550594505E-09
+H-C2Br2Cl2	1	-250.767104111679	0.000220986496421804
+H-C11H13N3O4	1	-250.083329458239	1.37867646539235E-08
+H-C12H14ClN3O	1	-250.075263313759	1.29387822292253E-06
+H-C12H14ClON3	1	-250.075263313759	1.29387822292253E-06
+H-C11H13N3O2S	1	-250.065571393499	4.5879065412522E-08
-H-C9H15NO3S2	-1	-250.056612147711	8.99480152649952E-08
+H-C8H4F3NO3S	1	-249.979122202329	6.94801431382717E-08
+H-C16H26O2	1	-249.186003624799	5.89209891160842E-09
-H-C10H16O7	-1	-249.096879304991	1.90963051442545E-08
+H-C12H14N2O4	1	-249.088080486039	1.22907829223904E-08
+H-C9H6F4SN2	1	-249.011505575239	8.32051817841388E-08
+H-C13H16FN3O	1	-248.120463858949	1.96299481342156E-08
+H-C14H11N5	1	-248.094168924359	1.4032419881224E-08
+H-C15H24N2O	1	-247.181586949629	6.56655862456141E-09
-H-C10H18O5N2	-1	-247.128848139171	1.48049403626053E-08
+H-C11H20O6	1	-247.118711909699	1.64055832493616E-08
+H-C6H16O10	1	-247.067070259059	2.72253725886829E-08
+H-C13H17N3O2	1	-246.124800348019	1.01129599751638E-08
+H-C15H18ClN	1	-246.105500814249	1.29385149912216E-06
+H-C6H4BrSO2-C2H4	1	-245.935561819059	0.000110485681842623
+H-C14H18N2O2	1	-245.129551375819	7.95777875879117E-09
+H-C10H14O7	1	-245.066676335889	1.90704378235836E-08
+H-C14H19ON3	1	-244.145535792909	8.9805523147624E-09
+H-C15H19NO2	1	-244.134302403619	6.33118212795544E-09
-H-C7H17NO8	-1	-244.102692961221	2.19933111284131E-08
+H-C14H15NO3	1	-244.097916894269	8.71775582382846E-09
+H-C13H11S2N	1	-244.026015255439	8.95701887752316E-08
+H-C10H16N2O3S	1	-243.080887105329	4.58618177128929E-08
+H-C10H12O7	1	-243.051026271429	1.90600810657101E-08
-H-C10H10O7	-1	-243.049929111611	1.90600810657101E-08
-H-C6H9O5SO3H	-1	-243.016914905581	4.97768047789275E-08
+H-C13H25O3N	1	-242.176167216569	8.8952586230935E-09
+H-C10H13NO4S	1	-242.049252623779	4.61612984054143E-08
+H-C6H9N7O2S	1	-242.046567282299	4.91728399904317E-08
+H-C8H9N3O4S	1	-242.024100503719	4.68289956721014E-08
-H-C9H7NO5S	-1	-242.011769954611	4.6869505754192E-08
-H-C16H32O	-1	-241.252592103251	4.04390721392424E-09
+H-C16H18O2	1	-241.123403366959	5.65265156560185E-09
-H-C15H12O3	-1	-241.085920697791	8.24218947128783E-09
+H-C11H12F2N2O2	1	-241.079407507899	3.58321117698888E-08
+H-C11H14O6	1	-241.071761716319	1.63573692122185E-08
+H-C9H10ClF3O2	1	-241.024865279309	1.294921315464E-06
+H-C17H23N	1	-240.175773293399	3.43881343288211E-09
+H-C16H19NO	1	-240.139387784049	4.23116695187634E-09
+H-C14H12FN3	1	-240.094249110459	1.94186902433976E-08
+H-C11H10F3N3	1	-240.075405371459	5.3110721915666E-08
+H-C7H12ClNO4S	1	-240.010280273549	1.29467067507621E-06
-H-C16H30O	-1	-239.236942038791	3.91153372522357E-09
-H-C14H22SO	-1	-239.146412955351	4.48919152640272E-08
+H-C12H16O5	1	-239.092497161209	1.36635858589651E-08
+H-C8H16O8	1	-239.077241019919	2.17955911193137E-08
+H-C14H9FN2O	1	-239.062614628909	1.85686041030743E-08
+H-C10H12SO3N2	1	-239.049586976409	4.58524883592506E-08
+H-C10H12N2O3S	1	-239.049586976409	4.58524883592506E-08
+H-C11H13ClSN2	1	-239.041520831929	1.29463414804897E-06
+H-H3O9P3	1	-238.891716215759	6.94964853171366E-08
+H-C6H3BrCl2O	1	-238.867156227939	0.00011051597184146
+H-C12H17SO2N	1	-238.090723513559	4.52002494496468E-08
-2H+3Li-C15H31CO2H	1	-237.208418605069	9.49221520508619E-08
+H-C14H26N2O	1	-237.197237014089	6.62642507489915E-09
+H-C15H26S	1	-237.168245560059	4.48183017905463E-08
-H-C16H12O2	-1	-237.091006078221	5.56463820412326E-09
+H-C12H14O5	1	-237.076847096749	1.36467157910477E-08
+H-C8H2Cl4	1	-236.883784340139	5.17539019773084E-06
+H-C13H19O3N	1	-236.129217023189	8.77794714470087E-09
-H-C12H10FNO3	-1	-236.071747800491	1.95161795634691E-08
-H-C8H11O8	-1	-236.052668763411	2.17802980709463E-08
+H-C10H7NO4S	1	-236.002302430399	4.61516730599479E-08
+H-C6H3Cl2SO2-C2H4	1	-235.947104550829	2.58808796831654E-06
+H-C9H16O7	1	-235.082326400349	1.9082513603476E-08
-H-C13H19N3O	-1	-234.160088697551	9.01529765186647E-09
+H-C14H21O2N	1	-234.149952468079	6.38037138502981E-09
-H-C12H15N3O2	-1	-234.123703188201	1.01129599751638E-08
-H-C13H15NO3	-1	-234.112469798911	8.7460220839849E-09
+H-C9H8F3NO3	1	-234.038351156849	5.31439671460452E-08
+H-C8H10ClNO3S	1	-233.999715589519	1.29465055977562E-06
-2H+Li-C16H30O	-1	-233.228763634421	3.18215426097001E-08
+H-C10H18O6	1	-233.103061845239	1.63875196086579E-08
-H-C10H16O6	-1	-233.101964685421	1.63875196086579E-08
-H-C10H8N4OS	-1	-233.049158521851	4.62287068295256E-08
+H-C11H10N2O2S	1	-233.039022292379	4.54439556964138E-08
+H-C7H7ClN2O3S	1	-232.979314497259	1.29465950428301E-06
+H-C14H16FNO	1	-232.114315850089	1.79607159558983E-08
+H-C13H15NO3	1	-232.097916894269	8.71775582382846E-09
-H-C10H15O6	-1	-232.094139653191	1.63792337822878E-08
+H-C8H16N4O4	1	-231.109878559359	1.56730785311726E-08
+H-C12H12N2O3	1	-231.077515802009	9.94547896185245E-09
-H-C12H10N2O3	-1	-231.076418642191	9.94547896185245E-09
-H-C8H10N2O4S	-1	-231.043404436161	4.64134309575166E-08
+H-C15H18FN	1	-230.135051294979	1.7768516105644E-08
+H-C13H17N3O	1	-230.129885728449	8.94935003766048E-09
+H-C14H17NO2	1	-230.118652339159	6.28684446727703E-09
+H-C9H13NO4S	1	-230.049252623779	4.61612984054143E-08
+H-C13H10ClNO	1	-230.037815175979	1.29385369505523E-06
+H-C6H4FN4O3S	1	-229.991537890159	5.00114946523786E-08
+H-C9H7Cl2NO2	1	-229.978107380859	2.5877023857181E-06
