formula	z	exactMW	u_exactMW
+H-C3H9O2	1	-76.0529780768891	5.48646843478475E-09
+H-C2H7NO2	1	-76.0404020168591	6.14120638205487E-09
-H-C2H5NO2	-1	-76.0393048570409	6.14120638205487E-09
+H-C6H5	1	-76.0318487088291	3.628170116028E-10
-H-C4H10O	-1	-75.0804413941909	2.89641095640296E-09
+H-C4H9F	1	-75.0615520004791	1.74935870391803E-08
+H-C3H8O2	1	-75.0451530446591	5.47521022093903E-09
-H-C3H6O2	-1	-75.0440558848409	5.47521022093903E-09
+H-C3H8S	1	-75.0273949799191	4.47654026315835E-08
+H-HF-CO-C2H4	1	-75.0251664911291	1.7692494926754E-08
+H-C6H4	1	-75.0240236765991	2.721127587021E-10
-H-CH2N2O2	-1	-75.0189037647809	7.81169697027933E-09
-H-C2H2O3	-1	-75.0076703754909	8.16194372937746E-09
+H-CH4SN2	1	-75.0022428598591	4.51108186066245E-08
+H-CH4N2S	1	-75.0022428598591	4.51108186066245E-08
+H-C3H5Cl	1	-75.0007013908291	1.29384760010405E-06
-H-CNO3	-1	-74.9950943154609	8.62525075650045E-09
+H-C2H4OS	1	-74.9910094705691	4.48442402109298E-08
+H-C2HClO	1	-74.9643158814791	1.29385040648315E-06
+H-C3H9ON	1	-74.0611374617491	3.9703508391752E-09
+H-C3H7N-H2O	1	-74.0611374617491	3.9703508391752E-09
+H-C3H9NO	1	-74.0611374617491	3.9703508391752E-09
+H-CH5ON3	1	-74.0359853416891	8.83834392507714E-09
+H-C2H5O2N	1	-74.0247519523991	6.12779492126703E-09
+H-C2H5NO2	1	-74.0247519523991	6.12779492126703E-09
-H-C2H3NO2	-1	-74.0236547925809	6.12779492126703E-09
+H-NO2-CHO	1	-73.9883664430491	8.62477381448449E-09
+K-C7H12O	1	-73.1256570998391	1.90944626223087E-07
-H-C4H10N	-1	-73.0886007790509	2.97303580599846E-09
+H-C4H10O	1	-73.0658884895491	2.83903257617805E-09
-H-C3H6NO	-1	-73.0522152697009	3.95477899050315E-09
+H-C4H7F	1	-73.0459019360191	1.74870015776158E-08
+H-C2H6N2O	1	-73.0407363694891	6.24284809815902E-09
+H-C2H6ON2	1	-73.0407363694891	6.24284809815902E-09
+H-H7FO3	1	-73.0306457947291	1.92960748408482E-08
+H-C3H6O2	1	-73.0295029801991	5.4571487690563E-09
-H-C3H4O2	-1	-73.0284058203809	5.4571487690563E-09
+H-C2H4NO2	1	-73.0169269201691	6.12309397009764E-09
+H-C3H6S	1	-73.0117449154591	4.47631971433221E-08
+H-CH2N2O2	1	-73.0043508601391	7.80748304279407E-09
+H-C2H2O3	1	-72.9931174708491	8.15791072208871E-09
-H-C2O3	-1	-72.9920203110309	8.15791072208871E-09
+H-C2H2OS	1	-72.9753594061091	4.48435063526886E-08
-H-H2Cl2	-1	-72.9606318807809	2.5876951127752E-06
-H-C5H11	-1	-72.0933518068509	1.0884510348084E-09
+H-C4H11N	1	-72.0818729066391	2.94383583312133E-09
+H-C2H7N3	1	-72.0567207865791	8.4194519287344E-09
+H-2(CH3)-NCOH	1	-72.0454873972891	3.94123362214162E-09
+H-C3H7ON	1	-72.0454873972891	3.94123362214162E-09
-H-C3H5NO	-1	-72.0443902374709	3.94123362214162E-09
-H-C3H5ON	-1	-72.0443902374709	3.94123362214162E-09
+H-C2H3O2N	1	-72.0091018879391	6.11973393695957E-09
-H-C2HNO2	-1	-72.0080047281209	6.11973393695957E-09
-H-C2HO2N	-1	-72.0080047281209	6.11973393695957E-09
-CH2SCN	-1	-71.9902466633809	4.48487958507637E-08
-C3H7-C2H4	1	-71.0866239344391	9.977467819077E-10
-H-C5H10	-1	-71.0855267746209	9.977467819077E-10
+H-C4H10N	1	-71.0740478744091	2.91716496687759E-09
+H-C4H8O	1	-71.0502384250891	2.7922810748174E-09
+H-CH4N4	1	-71.0363196943191	1.12057635866779E-08
+H-4H2O	1	-71.0349822837991	1.08950585319328E-08
+H-C2H4N2O	1	-71.0250863050291	6.23229622152055E-09
+H-C3H4O2	1	-71.0138529157391	5.44507451773659E-09
-H-C3H2O2	-1	-71.0127557559209	5.44507451773659E-09
-H-CHF3	-1	-71.0103109727409	5.24359065326583E-08
+H-C2O3	1	-70.9774674063891	8.15791072208871E-09
-Cl2H	1	-70.9460789761391	2.58769510005769E-06
+H-H2Cl2	1	-70.9460789761391	2.58769510005769E-06
+H-C5H11	1	-70.0787989022091	9.07042529007E-10
-H-C5H9	-1	-70.0777017423909	9.07042529007E-10
+H-C4H9N	1	-70.0662228421791	2.89309315414752E-09
+H-C2H5N3	1	-70.0410707221191	8.40967452107297E-09
+H-C3H5ON	1	-70.0298373328291	3.92030320694893E-09
+H-C3H5NO	1	-70.0298373328291	3.92030320694893E-09
+H-C3H3O2	1	-70.0060278835091	5.44129581958498E-09
+H-CO-CONH	1	-69.9934518234791	6.11704458159311E-09
+H-C2HNO2	1	-69.9934518234791	6.11704458159311E-09
+H-C2HO2N	1	-69.9934518234791	6.11704458159311E-09
+H-C5H10	1	-69.0709738699791	8.163382761063E-10
-H-C5H8	-1	-69.0698767101609	8.163382761063E-10
+H-C3H6N2	1	-69.0458217499191	5.61955999960173E-09
+H-CH7FO2	1	-69.0357311751591	1.83131104765355E-08
+H-C4H6O	1	-69.0345883606291	2.75669717686234E-09
+H-CH2N4	1	-69.0206696298591	1.12028264053569E-08
+H-C2H2N2O	1	-69.0094362405691	6.22701357801837E-09
+H-C2H2ON2	1	-69.0094362405691	6.22701357801837E-09
+H-H6O2S	1	-69.0015741545991	4.5092334266948E-08
+H-C4H7N	1	-68.0505727777191	2.85300274741115E-09
+H-C2H3N3	1	-68.0254206576591	8.40380261622396E-09
+H-C5H8	1	-67.0553238055191	6.349297703049E-10
+H-CH8O3	1	-67.0400676642291	8.18207894738831E-09
-H-CH6O3	-1	-67.0389705044109	8.18207894738831E-09
+H-C3H4N2	1	-67.0301716854591	5.60783544740887E-09
-H-C3H2N2	-1	-67.0290745256409	5.60783544740887E-09
+H-C4H4O	1	-67.0189382961691	2.73271717179302E-09
+H-CH2F2O	1	-67.0000945571691	3.50627736509255E-08
+H-CH4ClO	1	-65.9877909781691	1.29385043509749E-06
+H-C5H6	1	-65.0396737410591	4.535212645035E-10
+H-H6N2O2	1	-65.0356509890591	7.82011801313635E-09
+H-CH6O3	1	-65.0244175997691	8.17000377144542E-09
-H-H2O-HCO2H	-1	-65.0233204399509	8.17000377144542E-09
+H-H3FN2O	1	-65.0156644355291	1.85553071288796E-08
+H-CH6OS	1	-65.0066595350291	4.48457078913856E-08
-H-CH4SO	-1	-65.0055623752109	4.48457078913856E-08
+H-CH3FO2	1	-65.0044310462391	1.83059209808733E-08
-H-CHFO2	-1	-65.0033338864209	1.83059209808733E-08
+H-H2O2S	1	-64.9702740256791	4.50901447698531E-08
+H-H2SO2	1	-64.9702740256791	4.50901447698531E-08
-H-O2S	-1	-64.9691768658609	4.50901447698531E-08
-H-SO2	-1	-64.9691768658609	4.50901447698531E-08
+H-CH7NO2	1	-64.0404020168591	6.14120638205487E-09
+H-C2H10ON	1	-63.0689624939791	3.98792542953625E-09
+H-CH8N2O	1	-63.0563864339491	6.25864255670112E-09
+H-C2H8O2	1	-63.0451530446591	5.47521022093903E-09
-H-C2H6O2	-1	-63.0440558848409	5.47521022093903E-09
+H-C2H5FO	1	-63.0251664911291	1.7692494926754E-08
-H-C2H3FO	-1	-63.0240693313109	1.7692494926754E-08
-H-H2O2N2	-1	-63.0189037647809	7.81169697027933E-09
+H-CH4O3	1	-63.0087675353091	8.16194372937746E-09
-H-H2O-CO2	-1	-63.0076703754909	8.16194372937746E-09
-H-CH2O3	-1	-63.0076703754909	8.16194372937746E-09
+H-CH4OS	1	-62.9910094705691	4.48442402109298E-08
+H-CHClO	1	-62.9643158814791	1.29385040648315E-06
+H-SO2	1	-62.9546239612191	4.50901447698531E-08
+H-O2S	1	-62.9546239612191	4.50901447698531E-08
+H-S2	1	-62.9368658964791	8.95218452394707E-08
+H-C2H9NO	1	-62.0611374617491	3.9703508391752E-09
+H-C2H9ON	1	-62.0611374617491	3.9703508391752E-09
-H-C2H7ON	-1	-62.0600403019309	3.9703508391752E-09
+H-C2H5N-HF	1	-62.0411509082191	1.77072913671753E-08
+H-C2H6FN	1	-62.0411509082191	1.77072913671753E-08
+H-CH5NO2	1	-62.0247519523991	6.12779492126703E-09
+H-CH5O2N	1	-62.0247519523991	6.12779492126703E-09
-H-CH3O2N	-1	-62.0236547925809	6.12779492126703E-09
-H-CH3NO2	-1	-62.0236547925809	6.12779492126703E-09
+H-CH2ClN	1	-61.9803002985691	1.2938505834637E-06
+H-CClO	1	-61.9564908492491	1.29385040966252E-06
-H-CH4N2O	-1	-61.0396392096709	6.24284809815902E-09
+H-C2H6O2	1	-61.0295029801991	5.4571487690563E-09
-H-C2H4O2	-1	-61.0284058203809	5.4571487690563E-09
+H-C2H6S	1	-61.0117449154591	4.47631971433221E-08
-H-N2O2	-1	-61.0032537003209	7.80748304279407E-09
+H-CH2O3	1	-60.9931174708491	8.15791072208871E-09
+H-H2N2S	1	-60.9865927953991	4.5110089085124E-08
+H-C2H7NO	1	-60.0454873972891	3.94123362214162E-09
+H-C2H7ON	1	-60.0454873972891	3.94123362214162E-09
-H-C2H5NO	-1	-60.0443902374709	3.94123362214162E-09
-H-CH2O-CH2NH	-1	-60.0443902374709	3.94123362214162E-09
-H-C2H5ON	-1	-60.0443902374709	3.94123362214162E-09
+H-C2H5O2	1	-60.0216779479691	5.45036029397729E-09
-H-C2H3O2	-1	-60.0205807881509	5.45036029397729E-09
+H-CH3NO2	1	-60.0091018879391	6.11973393695957E-09
+H-NH3CO2	1	-60.0091018879391	6.11973393695957E-09
+H-NH2OH-CO	1	-60.0091018879391	6.11973393695957E-09
+H-CH3O2N	1	-60.0091018879391	6.11973393695957E-09
-(CH3)3SiOH	-1	-60.0025927032309	1.26118073153387E-08
+H-CClN	1	-59.9646502341091	1.2938505834637E-06
-H-C4H10	-1	-59.0855267746209	9.977467819077E-10
-H-C3H8N	-1	-59.0729507145909	2.91716496687759E-09
+H-C3H8O	1	-59.0502384250891	2.7922810748174E-09
+H-H2O-C3H6	1	-59.0502384250891	2.7922810748174E-09
-H-C3H6O	-1	-59.0491412652709	2.7922810748174E-09
-H-H4F2O	-1	-59.0302975262709	3.50655892631494E-08
+H-CH4ON2	1	-59.0250863050291	6.23229622152055E-09
+H-CH4N2O	1	-59.0250863050291	6.23229622152055E-09
+H-CH3CO2H	1	-59.0138529157391	5.44507451773659E-09
+H-C2H4O2	1	-59.0138529157391	5.44507451773659E-09
-H-C2H2O2	-1	-59.0127557559209	5.44507451773659E-09
+H-C2H4S	1	-58.9960948509991	4.47617267574432E-08
-H-C4H9	-1	-58.0777017423909	9.07042529007E-10
+H-C3H9N	1	-58.0662228421791	2.89309315414752E-09
+H-2(CH3)-CHNH2	1	-58.0662228421791	2.89309315414752E-09
-H-C3H7N	-1	-58.0651256823609	2.89309315414752E-09
+H-C3H7O	1	-58.0424133928591	2.77306314413463E-09
+H-CH5N3	1	-58.0410707221191	8.40967452107297E-09
-H-CH3N3	-1	-58.0399735623009	8.40967452107297E-09
+H-C2H5ON	1	-58.0298373328291	3.92030320694893E-09
+H-C2H5NO	1	-58.0298373328291	3.92030320694893E-09
-H-C2H3ON	-1	-58.0287401730109	3.92030320694893E-09
-H-C2H3NO	-1	-58.0287401730109	3.92030320694893E-09
+H-CHSN	1	-57.9756937587391	4.48484289604163E-08
-C4H9	1	-57.0709738699791	8.163382761063E-10
-H-C4H8	-1	-57.0698767101609	8.163382761063E-10
+H-C2H6N2	1	-57.0458217499191	5.61955999960173E-09
-H-C2H4N2	-1	-57.0447245901009	5.61955999960173E-09
+H-C3H6O	1	-57.0345883606291	2.75669717686234E-09
-H-C3H4O	-1	-57.0334912008109	2.75669717686234E-09
+H-C2H2O2	1	-56.9982028512791	5.43902734059594E-09
+H-C3H7N	1	-56.0505727777191	2.85300274741115E-09
+H-C3H5O	1	-56.0267633283991	2.74323421739237E-09
+H-CH3N3	1	-56.0254206576591	8.40380261622396E-09
+H-C2H3NO	1	-56.0141872683691	3.90769114650618E-09
+H-C2H3ON	1	-56.0141872683691	3.90769114650618E-09
+H-2(C2H4)	1	-55.0553238055191	6.349297703049E-10
+H-C4H8	1	-55.0553238055191	6.349297703049E-10
-H-3H2O	-1	-55.0389705044109	8.18207894738831E-09
+H-C2H4N2	1	-55.0301716854591	5.60783544740887E-09
+H-H5FO2	1	-55.0200811106991	1.83086173725901E-08
+H-C3H4O	1	-55.0189382961691	2.73271717179302E-09
+H-C2O2	1	-54.9825527868191	5.43902734059594E-09
+H-C3H5N	1	-54.0349227132591	2.82401831560104E-09
+H-CHN3	1	-54.0097705931991	8.401844402658E-09
+H-C4H6	1	-53.0396737410591	4.535212645035E-10
+H-3(H2O)	1	-53.0244175997691	8.17000377144542E-09
+H-3H2O	1	-53.0244175997691	8.17000377144542E-09
-H-H4OS	-1	-53.0055623752109	4.48457078913856E-08
+H-H2-C3O	1	-53.0032882317091	2.72064790979249E-09
+H-H3ClO	1	-52.9799659459391	1.29385041920064E-06
+Li-3(CH3)-N	1	-52.0580444378091	3.17064979451726E-08
+H-2H2O-NH3	1	-52.0404020168591	6.14120638205487E-09
-H-CH6O2	-1	-51.0440558848409	5.47521022093903E-09
+H-H4OS	1	-50.9910094705691	4.48442402109298E-08
+H-H5NO2	1	-50.0247519523991	6.12779492126703E-09
+H-CH6O2	1	-49.0295029801991	5.4571487690563E-09
-H-CH4O2	-1	-49.0284058203809	5.4571487690563E-09
-H-CHFO	-1	-49.0084192668509	1.76897046214821E-08
+H-CH7NO	1	-48.0454873972891	3.94123362214162E-09
